"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.098072048E1,-4.430909157E0,-8.406583786E0,-5.888736725E0,1.117948242E1
2.098319402E1,-4.574478626E0,-8.444869041E0,-5.788238049E0,1.121362419E1
2.098566761E1,-4.622334957E0,-8.468797684E0,-5.773880959E0,1.124385236E1
2.098814120E1,-4.689334393E0,-8.444869041E0,-5.802595139E0,1.126835305E1
2.099061475E1,-4.765904427E0,-8.502297401E0,-5.893522263E0,1.139019362E1
2.099308829E1,-4.727619171E0,-8.531010628E0,-5.888736725E0,1.139323245E1
2.099556188E1,-4.737190723E0,-8.583653450E0,-5.764309883E0,1.137309768E1
2.099803548E1,-4.713262558E0,-8.631509781E0,-5.587240696E0,1.131083833E1
2.100050907E1,-4.670191765E0,-8.665008545E0,-5.395814896E0,1.122532327E1
2.100298261E1,-4.646263599E0,-8.688937187E0,-5.190032482E0,1.113650897E1
2.100545620E1,-4.612763882E0,-8.727222443E0,-5.094319344E0,1.110828933E1
2.100792975E1,-4.540979385E0,-8.813364029E0,-5.051248550E0,1.112703874E1
2.101040334E1,-4.531407833E0,-8.866005898E0,-4.974678040E0,1.113045997E1
2.101287688E1,-4.454837322E0,-8.822935104E0,-5.075176716E0,1.111067856E1
2.101535048E1,-4.363910198E0,-8.856434822E0,-5.161318302E0,1.114088671E1
2.101782407E1,-4.330410957E0,-8.870791435E0,-5.237888813E0,1.117492188E1
2.102029766E1,-4.186841488E0,-8.822935104E0,-5.261816978E0,1.109326568E1
2.102277120E1,-4.124628067E0,-8.751151085E0,-5.261816978E0,1.101280709E1
2.102524480E1,-4.071985722E0,-8.732007980E0,-5.247459888E0,1.097109231E1
2.102771834E1,-3.985844374E0,-8.626724243E0,-5.213960648E0,1.083940553E1
2.103019199E1,-3.836891174E0,-8.535796165E0,-5.233103275E0,1.072226282E1
2.103266553E1,-3.717249870E0,-8.473583221E0,-5.194818020E0,1.061158299E1
2.103513912E1,-3.607180119E0,-8.425726891E0,-5.228317261E0,1.055177347E1
2.103761272E1,-3.506681681E0,-8.392227173E0,-5.204389095E0,1.047912015E1
2.104008631E1,-3.463610888E0,-8.325227737E0,-5.266602516E0,1.044237135E1
2.104255985E1,-3.315255880E0,-8.300702095E0,-5.295316696E0,1.038907868E1
2.104503344E1,-3.272184849E0,-8.233702660E0,-5.304887772E0,1.032680432E1
2.104750704E1,-3.248256683E0,-8.214560509E0,-5.367101192E0,1.033614779E1
2.104998058E1,-3.166900873E0,-8.114061356E0,-5.357530117E0,1.022596606E1
2.105245412E1,-3.119044304E0,-8.080561638E0,-5.376672268E0,1.019472993E1
2.105492772E1,-3.052045345E0,-8.013563156E0,-5.328815937E0,1.009596229E1
2.105740131E1,-2.994617462E0,-7.980063438E0,-5.300102234E0,1.003694326E1
2.105987490E1,-2.898904562E0,-7.994420528E0,-5.290530682E0,1.001519456E1
2.106234844E1,-2.816950560E0,-7.965706348E0,-5.247459888E0,9.946030533E0
2.106482204E1,-2.759522676E0,-7.884350777E0,-5.209175110E0,9.844463312E0
